iter	Passed	Remaining
550	219991	179267
551	220397	178873
552	221151	178760
553	221555	178364
554	221888	177910
555	222206	177445
556	222471	176938
557	222868	176537
558	223253	176126
559	223591	175679
560	223992	175280
561	224333	174836
562	224665	174385
563	225189	174082
564	225577	173674
565	225915	173228
566	226408	172901
567	226772	172474
568	227353	172213
569	227840	171879
570	228362	171571
571	228728	171146
572	229079	170710
573	229481	170312
574	229967	169976
575	230318	169539
576	230701	169127
577	231036	168680
578	231467	168303
579	231979	167985
580	232358	167570
581	232673	167108
582	233024	166674
583	233413	166266
584	233815	165869
585	234316	165541
586	234746	165162
587	235196	164797
588	235636	164425
589	235908	163936
590	236521	163684
591	236808	163206
592	237128	162751
593	237369	162242
594	237765	161840
595	238059	161368
596	238404	160933
597	238796	160528
598	239190	160126
599	239567	159711
600	239912	159276
601	240224	158819
602	240510	158346
603	241085	158062
604	241587	157730
605	241992	157334
606	242321	156889
607	242762	156518
608	243273	156190
609	243643	155772
610	244078	155395
611	244421	154960
612	244793	154543
613	245412	154281
614	245759	153849
615	246116	153423
616	246437	152974
617	246821	152565
618	247383	152266
619	247710	151822
620	248052	151388
621	248426	150973
622	248813	150565
623	249305	150222
624	249889	149933
625	250224	149495
626	250629	149098
627	250979	148669
628	251279	148210
629	251649	147793
630	252136	147446
631	252469	147007
632	252910	146632
633	253208	146173
634	253579	145758
635	254002	145372
636	254583	145076
637	254886	144622
638	255201	144174
639	255583	143765
640	255966	143357
641	256482	143023
642	256956	142664
643	257395	142286
644	257797	141888
645	258123	141448
646	258556	141066
647	258879	140625
648	259236	140203
649	259621	139796
650	260038	139406
651	260441	139008
652	261035	138712
653	261408	138298
654	261796	137892
655	262177	137483
656	262550	137069
657	263080	136737
658	263382	136287
659	263845	135920
660	264191	135493
661	264622	135109
662	264997	134697
663	265414	134305
664	265776	133887
665	266145	133472
666	266491	133046
667	266858	132630
668	267419	132310
669	267724	131864
670	268041	131424
671	268386	130998
672	268699	130556
673	269054	130136
674	269689	129850
675	270091	129452
676	270375	128997
677	270803	128611
678	271185	128204
679	271764	127889
680	272177	127495
681	272657	127133
682	273015	126714
683	273307	126264
684	273711	125867
685	274225	125520
686	274542	125082
687	274992	124705
688	275330	124278
689	275726	123877
690	276092	123462
691	276434	123037
692	276734	122593
693	277093	122176
694	277483	121773
695	278035	121440
696	278592	121109
697	279171	120787
698	279520	120365
699	280062	120026
700	280508	119646
701	280925	119253
702	281241	118817
703	281574	118389
704	281900	117958
705	282382	117592
706	282966	117268
707	283261	116825
708	283530	116371
709	283901	115959
710	284185	115512
711	284612	115124
712	285012	114724
713	285485	114353
714	285812	113925
715	286248	113540
716	286718	113167
717	287214	112805
718	287588	112395
719	287947	111979
720	288317	111568
721	288639	111138
722	289104	110763
723	289574	110390
724	289834	109937
725	290231	109536
726	290538	109101
727	291023	108733
728	291508	108365
729	292013	108004
730	292350	107581
731	292730	107174
732	293039	106741
733	293634	106412
734	294093	106033
735	294412	105604
736	294811	105204
737	295277	104827
738	295694	104433
739	296074	104026
740	296239	103543
741	296561	103117
742	296926	102705
743	297218	102268
744	297749	101914
745	298378	101592
746	298665	101154
747	299041	100746
748	299373	100324
749	299685	99895
750	300178	99526
751	300573	99125
752	300969	98724
753	301408	98337
754	301713	97907
755	302037	97482
756	302553	97120
757	303028	96745
758	303317	96310
759	303685	95900
760	303966	95463
761	304473	95098
762	304832	94685
763	305270	94298
764	305655	93894
765	305989	93474
766	306315	93052
767	306629	92627
768	306951	92205
769	307301	91791
770	307746	91406
771	308182	91017
772	308584	90619
773	309053	90240
774	309570	89875
775	309859	89443
776	310209	89030
777	310675	88650
778	311104	88259
779	311581	87882
780	311926	87467
781	312285	87056
782	312589	86630
783	312925	86214
784	313594	85888
785	313991	85488
786	314525	85125
787	314881	84714
788	315282	84315
789	315919	83978
790	316247	83559
791	316651	83160
792	317022	82753
793	317350	82335
794	317625	81903
795	318303	81575
796	318605	81150
797	318939	80734
798	319336	80333
799	319697	79924
800	320187	79547
801	320693	79173
802	321204	78801
803	321604	78401
804	321951	77988
805	322509	77626
806	322850	77211
807	323386	76844
808	323676	76417
809	323874	75970
810	324170	75546
811	324635	75161
812	324992	74752
813	325241	74318
814	325646	73919
815	326118	73536
816	326538	73141
817	326914	72736
818	327484	72374
819	327856	71968
820	328178	71551
821	328602	71157
822	329075	70773
823	329568	70393
824	330026	70005
825	330449	69610
826	330828	69205
827	331376	68836
828	331953	68472
829	332330	68067
830	332786	67678
831	333146	67270
832	333508	66861
833	333961	66472
834	334244	66048
835	334646	65648
836	335008	65240
837	335342	64827
838	335825	64443
839	336330	64063
840	336678	63652
841	336900	63218
842	337173	62795
843	337534	62387
844	338162	62029
845	338634	61642
846	339019	61239
847	339406	60836
848	339784	60432
849	340237	60041
850	340824	59674
851	341220	59273
852	341642	58876
853	342103	58486
854	342438	58074
855	342750	57658
856	343125	57254
857	343492	56848
858	343852	56441
859	344253	56041
860	344599	55632
861	345010	55233
862	345465	54842
863	345787	54429
864	346186	54029
865	346672	53642
866	347216	53263
867	347628	52865
868	347966	52455
869	348395	52059
870	348727	51648
871	349082	51241
872	349555	50851
873	349934	50448
874	350255	50036
875	350616	49630
876	350973	49224
877	351299	48813
878	351822	48430
879	352112	48015
880	352452	47607
881	352886	47211
882	353210	46801
883	353575	46396
884	353944	45992
885	354289	45585
886	354783	45197
887	355104	44787
888	355412	44376
889	355731	43966
890	356199	43575
891	356416	43153
892	356905	42764
893	357177	42349
894	357466	41937
895	357829	41533
896	358100	41119
897	358591	40730
898	358906	40322
899	359335	39926
900	359698	39522
901	359996	39112
902	360321	38705
903	360602	38294
904	360924	37887
905	361182	37473
906	361639	37081
907	362007	36679
908	362344	36274
909	362724	35873
910	363022	35465
911	363344	35059
912	363787	34665
913	364177	34266
914	364635	33873
915	365046	33475
916	365432	33076
917	365913	32685
918	366316	32286
919	366759	31892
920	367233	31499
921	367734	31109
922	368083	30706
923	368230	30287
924	368517	29879
925	368844	29475
926	369205	29074
927	369638	28678
928	370042	28281
929	370490	27886
930	370788	27480
931	371067	27073
932	371395	26670
933	371864	26277
934	372291	25881
935	372608	25477
936	372886	25071
937	373146	24664
938	373482	24262
939	374010	23872
940	374356	23471
941	374728	23072
942	374988	22666
943	375346	22266
944	375728	21867
945	376255	21477
946	376691	21081
947	377282	20694
948	377663	20295
949	377955	19892
950	378316	19492
951	378771	19097
952	379097	18696
953	379434	18295
954	379911	17901
955	380288	17502
956	380749	17107
957	381181	16711
958	381494	16309
959	381780	15907
960	382055	15504
961	382365	15103
962	382748	14705
963	383062	14305
964	383585	13912
965	383867	13510
966	384222	13112
967	384688	12716
968	385243	12324
969	385648	11927
970	385937	11526
971	386277	11127
972	386699	10730
973	387074	10332
974	387589	9938
975	387947	9539
976	388247	9139
977	388541	8740
978	388820	8340
979	389293	7944
980	389954	7552
981	390312	7154
982	390623	6755
983	390996	6357
984	391377	5960
985	391925	5564
986	392434	5168
987	392761	4770
988	393148	4372
989	393528	3975
990	393975	3577
991	394397	3180
992	394808	2783
993	395156	2385
994	395452	1987
995	395773	1589
996	396457	1192
997	396820	795
998	397090	397
999	397306	0
